2021-07-28 06:48:16 - Epoch: 0, Step: 10/396, Avg Loss: 15.9381, Avg Regression Loss 5.9124, Avg Classification Loss: 10.0257
2021-07-28 06:48:25 - Epoch: 0, Step: 20/396, Avg Loss: 10.0722, Avg Regression Loss 4.8248, Avg Classification Loss: 5.2474
2021-07-28 06:48:38 - Epoch: 0, Step: 30/396, Avg Loss: 8.2506, Avg Regression Loss 3.5509, Avg Classification Loss: 4.6996
2021-07-28 06:48:56 - Epoch: 0, Step: 40/396, Avg Loss: 7.4952, Avg Regression Loss 3.2420, Avg Classification Loss: 4.2532
2021-07-28 06:49:18 - Epoch: 0, Step: 50/396, Avg Loss: 8.5514, Avg Regression Loss 3.9079, Avg Classification Loss: 4.6435
2021-07-28 06:49:38 - Epoch: 0, Step: 60/396, Avg Loss: 7.9535, Avg Regression Loss 3.2153, Avg Classification Loss: 4.7382
2021-07-28 06:49:50 - Epoch: 0, Step: 70/396, Avg Loss: 8.0511, Avg Regression Loss 3.2875, Avg Classification Loss: 4.7636
2021-07-28 06:50:13 - Epoch: 0, Step: 80/396, Avg Loss: 8.3554, Avg Regression Loss 3.8897, Avg Classification Loss: 4.4657
2021-07-28 06:50:45 - Epoch: 0, Step: 90/396, Avg Loss: 7.2169, Avg Regression Loss 2.9076, Avg Classification Loss: 4.3094
2021-07-28 06:51:11 - Epoch: 0, Step: 100/396, Avg Loss: 6.7672, Avg Regression Loss 3.0597, Avg Classification Loss: 3.7075
2021-07-28 06:51:35 - Epoch: 0, Step: 110/396, Avg Loss: 7.0202, Avg Regression Loss 2.9835, Avg Classification Loss: 4.0367
2021-07-28 06:52:07 - Epoch: 0, Step: 120/396, Avg Loss: 6.3900, Avg Regression Loss 2.8749, Avg Classification Loss: 3.5152
2021-07-28 06:52:30 - Epoch: 0, Step: 130/396, Avg Loss: 7.6805, Avg Regression Loss 3.5193, Avg Classification Loss: 4.1612
2021-07-28 06:53:02 - Epoch: 0, Step: 140/396, Avg Loss: 6.7362, Avg Regression Loss 3.0585, Avg Classification Loss: 3.6777
2021-07-28 06:53:34 - Epoch: 0, Step: 150/396, Avg Loss: 6.4985, Avg Regression Loss 2.5969, Avg Classification Loss: 3.9016
2021-07-28 06:53:58 - Epoch: 0, Step: 160/396, Avg Loss: 6.7525, Avg Regression Loss 3.1102, Avg Classification Loss: 3.6423
2021-07-28 06:54:24 - Epoch: 0, Step: 170/396, Avg Loss: 6.5754, Avg Regression Loss 2.8781, Avg Classification Loss: 3.6973
2021-07-28 06:54:55 - Epoch: 0, Step: 180/396, Avg Loss: 6.3472, Avg Regression Loss 2.6962, Avg Classification Loss: 3.6510
2021-07-28 06:55:33 - Epoch: 0, Step: 190/396, Avg Loss: 7.1237, Avg Regression Loss 3.2289, Avg Classification Loss: 3.8948
2021-07-28 06:56:03 - Epoch: 0, Step: 200/396, Avg Loss: 6.7951, Avg Regression Loss 2.7033, Avg Classification Loss: 4.0917
2021-07-28 06:56:33 - Epoch: 0, Step: 210/396, Avg Loss: 5.7826, Avg Regression Loss 2.4312, Avg Classification Loss: 3.3514
2021-07-28 06:57:08 - Epoch: 0, Step: 220/396, Avg Loss: 6.6534, Avg Regression Loss 3.2646, Avg Classification Loss: 3.3888
2021-07-28 06:57:39 - Epoch: 0, Step: 230/396, Avg Loss: 5.9127, Avg Regression Loss 2.4065, Avg Classification Loss: 3.5062
2021-07-28 06:57:58 - Epoch: 0, Step: 240/396, Avg Loss: 6.2318, Avg Regression Loss 2.7375, Avg Classification Loss: 3.4943
2021-07-28 06:58:21 - Epoch: 0, Step: 250/396, Avg Loss: 5.9384, Avg Regression Loss 2.3936, Avg Classification Loss: 3.5449
2021-07-28 06:58:53 - Epoch: 0, Step: 260/396, Avg Loss: 8.3387, Avg Regression Loss 4.3882, Avg Classification Loss: 3.9505
2021-07-28 06:59:22 - Epoch: 0, Step: 270/396, Avg Loss: 7.0702, Avg Regression Loss 3.3472, Avg Classification Loss: 3.7230
2021-07-28 07:00:01 - Epoch: 0, Step: 280/396, Avg Loss: 7.0733, Avg Regression Loss 3.2009, Avg Classification Loss: 3.8724
2021-07-28 07:00:33 - Epoch: 0, Step: 290/396, Avg Loss: 7.2458, Avg Regression Loss 3.7341, Avg Classification Loss: 3.5117
2021-07-28 07:01:01 - Epoch: 0, Step: 300/396, Avg Loss: 5.8773, Avg Regression Loss 2.3398, Avg Classification Loss: 3.5375
2021-07-28 07:01:25 - Epoch: 0, Step: 310/396, Avg Loss: 6.2370, Avg Regression Loss 2.7013, Avg Classification Loss: 3.5357
2021-07-28 07:01:42 - Epoch: 0, Step: 320/396, Avg Loss: 5.8162, Avg Regression Loss 2.3660, Avg Classification Loss: 3.4502
2021-07-28 07:02:15 - Epoch: 0, Step: 330/396, Avg Loss: 6.4588, Avg Regression Loss 2.6551, Avg Classification Loss: 3.8037
2021-07-28 07:02:43 - Epoch: 0, Step: 340/396, Avg Loss: 6.6906, Avg Regression Loss 2.7748, Avg Classification Loss: 3.9158
2021-07-28 07:03:11 - Epoch: 0, Step: 350/396, Avg Loss: 5.8483, Avg Regression Loss 2.2623, Avg Classification Loss: 3.5860
2021-07-28 07:05:34 - Epoch: 0, Step: 360/396, Avg Loss: 5.2896, Avg Regression Loss 2.1950, Avg Classification Loss: 3.0946
2021-07-28 07:05:55 - Epoch: 0, Step: 370/396, Avg Loss: 6.1759, Avg Regression Loss 2.5586, Avg Classification Loss: 3.6174
2021-07-28 07:06:02 - Epoch: 0, Step: 380/396, Avg Loss: 6.1556, Avg Regression Loss 2.9207, Avg Classification Loss: 3.2349
2021-07-28 07:06:10 - Epoch: 0, Step: 390/396, Avg Loss: 7.1140, Avg Regression Loss 3.3919, Avg Classification Loss: 3.7221
